0,23|875,700
1060,632|1529,970
361,665|1164,837
0,23|528,595
1204,23|1317,408
187,44|267,398
636,23|1571,1027
0,23|694,909
0,23|953,753
0,23|729,312
523,23|1458,810
1068,399|1368,683
467,23|1496,1007
733,23|907,848
0,23|915,677
223,525|386,869
977,23|1245,548
0,23|996,800
1408,30|1488,190
726,23|1526,1046
0,397|884,715
275,23|985,906
524,23|759,654
649,23|1049,890
1433,371|1634,660
1034,494|1655,791
1532,83|1666,1008
0,23|700,1046
0,23|967,691
48,23|843,957
0,23|623,1046
555,23|1132,147
558,23|1152,1046
0,23|1006,567
0,23|705,801
0,240|797,674
684,574|1411,895
0,370|948,1022
0,23|866,252
435,23|956,266
0,921|773,1036
0,23|709,368
982,23|1379,1037
696,23|1019,654
0,72|753,268
619,23|1027,873
486,23|1166,821
681,23|939,952
1159,23|1437,332
365,23|754,619
0,23|950,437
648,23|1012,1046
716,23|1555,1031
869,23|1116,863
1013,456|1103,723
481,205|1124,503
472,636|1322,748
0,23|689,687
908,166|1263,737
611,23|702,989
0,532|828,1009
287,693|934,1013
0,23|411,442
1529,245|1609,359
0,23|1016,448
0,242|852,613
967,392|1668,812
1168,23|1662,680
0,550|439,639
0,23|414,691
1377,23|1487,1044
0,23|825,229
1305,23|1393,654
273,390|973,1029
566,783|718,1014
788,134|1255,208
764,73|1593,828
1440,23|1520,1004
0,66|723,1020
0,23|836,707
0,23|842,1046
358,415|1156,752
356,23|460,379
43,23|767,721
0,443|383,951
743,157|844,817
461,23|918,1043
106,23|341,732
0,23|591,1046
335,23|1217,501
579,23|1003,322
0,23|1000,1046
618,101|1607,596
730,217|1166,352
0,23|992,1038
1106,601|1405,690
413,38|549,208
812,23|1602,671
574,189|1392,507
0,761|796,917
0,23|541,691
0,530|705,771
0,23|552,1046
0,23|385,184
143,23|843,402
1093,23|1297,1046
528,436|698,653
913,172|1500,1040
834,23|1174,899
980,23|1205,787
435,465|778,900
0,23|703,956
149,486|1042,1015
0,307|425,920
417,23|815,833
0,23|909,621
103,262|295,428
0,23|1000,476
501,23|1323,1046
714,291|1373,991
1091,323|1198,975
1037,130|1372,1046
0,23|1035,377
0,544|1012,782
0,23|291,987
148,230|256,946
601,23|970,1030
0,23|843,1014
0,23|505,1046
0,23|228,229
883,23|1165,885
85,557|292,1030
355,267|530,654
781,139|951,268
0,234|930,553
569,66|1545,476
192,23|1181,863
747,80|1470,266
151,23|330,970
774,23|949,650
1137,23|1667,683
0,23|298,910
1260,23|1606,537
0,475|919,752
0,23|741,899
633,23|802,842
0,378|493,602
757,23|869,1000
734,23|1555,921
982,444|1250,945
0,97|656,708
200,23|1167,946
947,23|1211,423
0,23|920,920
1348,23|1677,908
0,23|1002,877
864,23|1627,202
0,23|688,278
538,456|677,726
377,23|1288,414
1219,23|1374,999
325,23|1351,329
198,274|892,812
180,23|861,803
1220,491|1519,876
606,30|1028,769
339,23|461,616
0,23|931,431
121,23|700,608
914,23|1434,760
1133,24|1233,753
808,180|1349,399
437,136|697,670
0,526|223,677
0,287|343,611
635,23|1673,274
0,113|1032,419
353,155|694,983
254,515|1006,1039
174,23|410,784
0,206|670,817
42,74|122,335
0,23|80,851
860,415|1086,791
530,23|1036,592
30,365|846,560
687,744|928,934
594,23|872,796
152,23|1165,892
34,23|308,968
0,23|641,922
0,23|531,782
273,679|1104,881
162,23|702,1046
358,23|622,801
224,306|317,750
0,460|474,650
429,620|1182,760
754,296|1410,575
